# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=2
# stan_version_patch=0
# data=linear_model.data.R
# init=random initialization
# append_samples=0
# save_warmup=0
# seed=2575924837
# chain_id=1
# iter=2000
# warmup=1000
# thin=1
# nondiag_mass=0
# equal_step_sizes=0
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,stepsize__,alpha,beta,sigma_noise
# (mcmc::nuts_diag) adaptation finished
# step size=7.45438
# parameter step size multipliers:
# 0.269844,1.70439,0.14908
-3.67568,2,7.45438,0.888831,14.5654,0.70144
-4.65139,2,7.45438,0.4399,-24.1385,0.436958
-0.767001,1,7.45438,0.424398,-0.551069,1.14304
-1.33016,2,7.45438,0.82026,11.676,3.39723
-1.33016,1,7.45438,0.82026,11.676,3.39723
-0.607009,2,7.45438,-0.0306635,16.6811,4.95993
-0.15823,2,7.45438,0.0987503,-10.4986,19.3126
0.0255231,2,7.45438,-0.754576,6.52014,8.43427
0.0255231,1,7.45438,-0.754576,6.52014,8.43427
0.427241,2,7.45438,-0.128517,8.78076,5.26612
0.681489,2,7.45438,0.12901,-0.78053,4.45365
0.681489,2,7.45438,0.12901,-0.78053,4.45365
-6.55056,2,7.45438,-0.668321,36.3757,4.22894
-1.97802,2,7.45438,0.770888,-20.7648,8.41757
-0.150469,1,7.45438,0.0805443,-15.09,6.82586
-0.0119388,2,7.45438,-0.284976,14.0821,7.96487
-0.177434,2,7.45438,0.402462,-14.4001,12.804
-0.248406,2,7.45438,-0.757781,9.52609,12.2503
-0.249152,2,7.45438,-0.0195916,-16.4135,8.96157
-0.887491,2,7.45438,-0.747952,10.6265,3.50497
-1.56911,2,7.45438,0.744207,-4.2349,1.02929
-0.108963,2,7.45438,0.560615,3.37343,19.8374
-0.108963,2,7.45438,0.560615,3.37343,19.8374
0.5504,2,7.45438,0.0153668,-5.49407,4.45454
0.5504,1,7.45438,0.0153668,-5.49407,4.45454
0.818886,2,7.45438,0.309039,-3.96132,6.87222
0.542327,2,7.45438,0.374758,6.41892,14.8729
-0.0212183,2,7.45438,0.404705,-12.9384,6.83698
-0.145672,2,7.45438,-0.588808,11.3162,6.03245
-2.68392,2,7.45438,-0.955395,-7.13887,2.07391
-2.34264,1,7.45438,-0.922231,9.20879,2.01286
0.398649,2,7.45438,-0.534815,3.14358,4.96757
0.398649,1,7.45438,-0.534815,3.14358,4.96757
0.398649,1,7.45438,-0.534815,3.14358,4.96757
0.398649,1,7.45438,-0.534815,3.14358,4.96757
0.349569,2,7.45438,0.706853,-0.634121,12.6052
0.349569,1,7.45438,0.706853,-0.634121,12.6052
0.349569,1,7.45438,0.706853,-0.634121,12.6052
0.989188,2,7.45438,0.123687,-3.4663,12.1832
1.04836,2,7.45438,-0.172723,0.886168,11.6766
1.04836,1,7.45438,-0.172723,0.886168,11.6766
-1.17735,2,7.45438,0.881313,-9.76756,5.07809
-1.17735,1,7.45438,0.881313,-9.76756,5.07809
-0.726786,2,7.45438,-0.881699,7.14801,7.40638
-0.0660106,2,7.45438,0.50787,-4.98834,19.6246
-0.86368,2,7.45438,-0.848678,6.64885,4.10515
0.600458,3,7.45438,-0.616425,-0.961883,11.6024
-5.37811,1,7.45438,0.856247,-31.9396,7.62109
-0.428815,2,7.45438,0.0490815,-9.37184,21.7988
-1.68556,2,7.45438,0.547717,16.6855,21.4942
-1.68556,2,7.45438,0.547717,16.6855,21.4942
-1.68556,2,7.45438,0.547717,16.6855,21.4942
-1.69982,2,7.45438,0.546774,-18.8258,3.2363
-0.666514,2,7.45438,0.359108,-15.3429,4.17702
-0.666514,2,7.45438,0.359108,-15.3429,4.17702
-1.12294,2,7.45438,-0.417996,3.38158,0.838451
-0.168277,2,7.45438,-0.602476,-5.86341,18.9263
-2.06167,2,7.45438,0.643768,10.3902,0.749253
-0.404655,2,7.45438,-0.537039,-1.9333,1.95012
-0.266846,1,7.45438,-0.0683938,-2.33233,1.60166
0.488042,2,7.45438,0.631752,-4.21831,8.58482
0.488042,1,7.45438,0.631752,-4.21831,8.58482
-0.768261,2,7.45438,-0.821683,7.15958,4.01287
-0.626899,2,7.45438,0.177626,-1.89974,1.13078
0.981224,1,7.45438,-0.00280964,-2.40914,7.03441
0.981224,1,7.45438,-0.00280964,-2.40914,7.03441
-0.441071,1,7.45438,0.242098,16.7362,7.17613
-0.441071,3,7.45438,0.242098,16.7362,7.17613
-1.98123,2,7.45438,-0.244748,-11.9862,0.602996
-0.393248,2,7.45438,0.516864,6.83761,2.39782
0.0793512,2,7.45438,-0.515083,-0.911676,19.3802
0.520306,2,7.45438,0.55048,5.90748,12.3634
0.520306,2,7.45438,0.55048,5.90748,12.3634
0.520306,2,7.45438,0.55048,5.90748,12.3634
-0.403256,2,7.45438,0.238515,-14.9401,16.2797
-0.403256,2,7.45438,0.238515,-14.9401,16.2797
-0.0102736,2,7.45438,-0.665669,-4.44973,17.1668
-0.332203,2,7.45438,0.72257,6.46729,4.02275
-0.332203,2,7.45438,0.72257,6.46729,4.02275
-0.645727,2,7.45438,-0.893937,-0.207412,14.0344
-0.645727,1,7.45438,-0.893937,-0.207412,14.0344
-0.126371,2,7.45438,0.688721,7.62751,5.12733
-0.0410828,2,7.45438,-0.794971,-1.65128,6.5907
-0.306096,2,7.45438,0.813192,5.60288,14.407
0.728143,2,7.45438,-0.143444,-5.29053,5.73496
0.557114,2,7.45438,0.146104,-1.86511,17.8463
0.557114,2,7.45438,0.146104,-1.86511,17.8463
0.557114,1,7.45438,0.146104,-1.86511,17.8463
0.557114,2,7.45438,0.146104,-1.86511,17.8463
0.557114,2,7.45438,0.146104,-1.86511,17.8463
0.557114,2,7.45438,0.146104,-1.86511,17.8463
0.557114,2,7.45438,0.146104,-1.86511,17.8463
0.557114,2,7.45438,0.146104,-1.86511,17.8463
-1.81427,2,7.45438,0.909402,9.53181,19.3412
-0.159466,2,7.45438,-0.820404,-1.13865,13.964
-0.0912419,2,7.45438,0.454771,13.3862,7.44816
0.123071,2,7.45438,0.164971,-13.7483,11.1864
0.123071,1,7.45438,0.164971,-13.7483,11.1864
-0.294664,2,7.45438,0.39393,7.47744,2.40199
-0.0669253,2,7.45438,0.70853,-2.87692,4.30599
-0.0669253,1,7.45438,0.70853,-2.87692,4.30599
-0.629514,2,7.45438,-0.557941,-15.0839,5.68103
-0.629514,1,7.45438,-0.557941,-15.0839,5.68103
-0.461511,2,7.45438,-0.807478,1.07776,3.95288
-0.202776,2,7.45438,-0.760264,6.69327,5.71692
-0.32343,2,7.45438,0.76075,-0.68738,3.69827
-0.32343,1,7.45438,0.76075,-0.68738,3.69827
0.228012,2,7.45438,0.288055,11.2191,14.3038
-0.197414,2,7.45438,0.501844,-14.2282,10.5738
-0.34984,1,7.45438,0.6618,-12.9048,7.8909
-0.410075,2,7.45438,0.515225,15.4689,8.87198
-0.410075,1,7.45438,0.515225,15.4689,8.87198
0.11307,2,7.45438,0.10054,-13.8969,11.466
0.49106,2,7.45438,-0.105367,7.33891,4.87137
0.544398,2,7.45438,-0.379605,-3.15842,16.4843
0.544398,1,7.45438,-0.379605,-3.15842,16.4843
0.028324,2,7.45438,0.196226,14.1669,12.0127
0.442274,2,7.45438,0.0257881,-8.73313,5.22842
0.442274,2,7.45438,0.0257881,-8.73313,5.22842
0.442274,1,7.45438,0.0257881,-8.73313,5.22842
0.999673,2,7.45438,-0.00587988,4.54537,10.8122
0.425377,2,7.45438,-0.635972,-0.052923,6.26626
0.324788,1,7.45438,-0.729278,-0.760675,8.61611
0.324788,2,7.45438,-0.729278,-0.760675,8.61611
-1.93646,1,7.45438,-0.647782,-6.44552,0.614142
-3.18522,2,7.45438,-0.138134,9.07293,0.127321
-0.462026,2,7.45438,0.568306,-0.402273,1.89957
-0.919369,2,7.45438,-0.656685,-4.95252,1.60932
-3.90726,1,7.45438,-0.620537,23.8422,1.13053
-8.3146,2,7.45438,0.984855,-24.3253,0.315699
-3.47245,1,7.45438,0.959621,-2.85758,0.823833
-2.40987,1,7.45438,0.923179,1.3471,1.24187
-3.44751,2,7.45438,-0.418556,-18.4989,0.427879
-1.18569,1,7.45438,-0.520922,1.53293,0.852803
-0.414401,2,7.45438,-0.68725,12.7513,12.7373
0.203743,2,7.45438,0.143539,11.6483,14.8396
-1.26975,2,7.45438,-0.090709,21.3374,7.10113
-0.0891787,2,7.45438,-0.73017,7.67676,6.52818
-0.0891787,0,7.45438,-0.73017,7.67676,6.52818
-0.0891787,2,7.45438,-0.73017,7.67676,6.52818
0.292072,2,7.45438,0.65462,-7.0453,9.14663
0.292072,2,7.45438,0.65462,-7.0453,9.14663
-4.12861,2,7.45438,-0.98284,11.464,1.86745
-0.102926,1,7.45438,0.189763,3.51346,2.03289
0.0273284,1,7.45438,-0.194034,3.84735,2.3656
0.0273284,2,7.45438,-0.194034,3.84735,2.3656
0.0273284,1,7.45438,-0.194034,3.84735,2.3656
0.696306,2,7.45438,0.207728,2.27505,16.33
0.696306,2,7.45438,0.207728,2.27505,16.33
0.696306,0,7.45438,0.207728,2.27505,16.33
0.696306,1,7.45438,0.207728,2.27505,16.33
0.895713,2,7.45438,-0.140599,5.85035,8.5386
1.07435,2,7.45438,0.140017,-1.72143,10.1949
1.07435,2,7.45438,0.140017,-1.72143,10.1949
1.07435,1,7.45438,0.140017,-1.72143,10.1949
-0.379197,1,7.45438,0.10837,16.5214,13.5137
-0.379197,2,7.45438,0.10837,16.5214,13.5137
-0.379197,1,7.45438,0.10837,16.5214,13.5137
0.308503,2,7.45438,-0.42293,-9.82019,6.75086
-1.97522,2,7.45438,0.822719,-17.9261,4.82703
0.841776,2,7.45438,0.426236,-1.05143,7.64565
0.896513,2,7.45438,-0.382666,1.57108,12.1024
-0.107033,1,7.45438,-0.0506714,15.2836,12.2148
-1.50921,2,7.45438,-0.343414,18.3845,2.82918
0.800441,2,7.45438,0.386714,-1.9014,6.6607
-0.742236,2,7.45438,0.20227,-16.6202,17.1264
-0.499244,2,7.45438,0.114337,15.7646,4.77713
-4.33359,1,7.45438,0.126692,32.8097,7.97241
-0.66075,2,7.45438,-0.676421,13.8258,5.91088
0.892877,2,7.45438,-0.266693,-3.87419,12.6989
0.892877,2,7.45438,-0.266693,-3.87419,12.6989
0.356542,2,7.45438,-0.525775,-6.08794,5.55138
0.781472,2,7.45438,-0.492421,3.1289,10.1002
0.815726,2,7.45438,0.493224,-1.39315,9.37107
0.815726,2,7.45438,0.493224,-1.39315,9.37107
0.815726,2,7.45438,0.493224,-1.39315,9.37107
0.906345,1,7.45438,0.421713,-1.06198,9.72887
-0.145911,2,7.45438,-0.559684,12.35,13.5691
-0.273728,2,7.45438,0.708793,-10.4644,6.57802
-0.273728,1,7.45438,0.708793,-10.4644,6.57802
-0.396494,2,7.45438,-0.787882,8.12186,14.8033
-0.396494,2,7.45438,-0.787882,8.12186,14.8033
0.474108,2,7.45438,-0.600948,-4.7579,12.7986
0.474108,2,7.45438,-0.600948,-4.7579,12.7986
0.474108,2,7.45438,-0.600948,-4.7579,12.7986
-0.325325,2,7.45438,0.100143,-12.0307,3.16348
-0.355729,2,7.45438,0.208969,3.07826,1.55545
-2.12441,1,7.45438,0.703829,-10.1293,0.795593
-4.12272,1,7.45438,0.901017,-18.5263,0.966266
-2.06764,2,7.45438,-0.900884,15.9264,5.60812
-2.06764,0,7.45438,-0.900884,15.9264,5.60812
-2.60333,2,7.45438,-0.95327,-14.3367,15.7565
-1.00892,2,7.45438,0.52011,8.56783,1.46039
0.333754,2,7.45438,-0.527042,-5.9724,15.5828
0.333754,2,7.45438,-0.527042,-5.9724,15.5828
0.333754,1,7.45438,-0.527042,-5.9724,15.5828
0.333754,2,7.45438,-0.527042,-5.9724,15.5828
0.333754,2,7.45438,-0.527042,-5.9724,15.5828
0.333754,1,7.45438,-0.527042,-5.9724,15.5828
0.333754,2,7.45438,-0.527042,-5.9724,15.5828
0.333754,1,7.45438,-0.527042,-5.9724,15.5828
0.746847,2,7.45438,-0.19151,4.91031,5.87474
0.746847,1,7.45438,-0.19151,4.91031,5.87474
-2.18428,1,7.45438,-0.964651,10.9401,11.5689
-3.70182,1,7.45438,-0.925717,23.7599,12.0553
-2.81769,2,7.45438,0.956373,-9.88299,2.35643
-1.89906,2,7.45438,-0.956152,-4.31333,17.3565
-0.615329,2,7.45438,-0.565629,-15.0347,5.84884
-1.21833,2,7.45438,0.564484,19.6849,9.29875
-0.210752,2,7.45438,-0.530024,-14.0256,10.744
-0.210752,1,7.45438,-0.530024,-14.0256,10.744
-0.210752,2,7.45438,-0.530024,-14.0256,10.744
-0.533724,2,7.45438,-0.694032,4.11999,2.55078
0.303097,2,7.45438,0.701206,0.934515,6.72536
-0.303951,2,7.45438,-0.496417,-12.8999,15.8674
0.477355,2,7.45438,0.175027,2.02719,18.3786
0.843318,2,7.45438,0.391176,0.0227357,13.3001
0.843318,1,7.45438,0.391176,0.0227357,13.3001
0.780269,2,7.45438,-0.379272,4.47755,7.43303
0.780269,1,7.45438,-0.379272,4.47755,7.43303
0.780269,2,7.45438,-0.379272,4.47755,7.43303
0.780269,0,7.45438,-0.379272,4.47755,7.43303
0.780269,1,7.45438,-0.379272,4.47755,7.43303
0.745813,1,7.45438,0.196672,4.2671,5.63014
0.745813,2,7.45438,0.196672,4.2671,5.63014
-0.420738,2,7.45438,-0.720799,5.32609,3.33882
-0.420738,2,7.45438,-0.720799,5.32609,3.33882
-0.925611,2,7.45438,0.33448,-18.7092,6.24637
-2.13631,2,7.45438,-0.840558,19.8026,12.4413
-2.686,2,7.45438,-0.932504,13.763,2.81536
-1.46242,2,7.45438,0.888496,-14.1693,10.7943
-1.54751,2,7.45438,0.835506,12.6546,3.32949
-1.39996,2,7.45438,-0.835752,-11.6732,3.44242
-2.15465,1,7.45438,-0.919364,-13.3323,3.95746
-0.600898,2,7.45438,0.733695,8.92463,3.81445
-0.0335835,2,7.45438,0.272551,-6.36189,20.3693
-0.0335835,2,7.45438,0.272551,-6.36189,20.3693
0.382228,1,7.45438,0.379134,-3.04861,3.86717
-2.02138,2,7.45438,0.958876,4.60949,17.7474
-1.64274,2,7.45438,-0.959002,0.904583,5.72433
-1.64274,0,7.45438,-0.959002,0.904583,5.72433
-1.64274,0,7.45438,-0.959002,0.904583,5.72433
-1.64274,1,7.45438,-0.959002,0.904583,5.72433
-1.44427,2,7.45438,0.95822,2.28163,8.62835
-1.44427,1,7.45438,0.95822,2.28163,8.62835
0.622296,2,7.45438,-0.310143,-8.6047,11.2623
0.16415,2,7.45438,0.312259,9.81028,4.72711
-0.368819,2,7.45438,0.410722,-6.40428,2.0893
-3.03647,2,7.45438,0.967467,-14.3599,16.5092
-3.03647,2,7.45438,0.967467,-14.3599,16.5092
-2.82927,2,7.45438,0.974627,-10.6637,4.6627
-0.046651,2,7.45438,-0.407387,9.70795,3.97031
-0.046651,1,7.45438,-0.407387,9.70795,3.97031
0.222617,2,7.45438,0.402631,-11.5342,12.1649
0.691366,2,7.45438,0.570948,-2.08168,10.1666
0.754982,2,7.45438,-0.357936,-4.1999,13.7755
