lp__,treedepth__,stepsize__,alpha,beta,sigma_noise
-1.83041,2,8.83221,25.433,-5.85723,5.67727
-0.40787,2,8.83221,-12.2245,-17.0801,9.32849
0.20263,2,8.83221,4.49202,17.1024,8.15185
1.50824,2,8.83221,5.14356,1.00237,6.3362
1.50824,1,8.83221,5.14356,1.00237,6.3362
1.58744,2,8.83221,-0.583877,1.22863,14.8339
1.58744,1,8.83221,-0.583877,1.22863,14.8339
1.58744,1,8.83221,-0.583877,1.22863,14.8339
-1.67713,1,8.83221,23.2981,7.45642,4.04114
-0.124505,2,8.83221,19.452,-2.64639,10.1299
0.179817,2,8.83221,-2.67254,-17.812,9.7347
0.123737,2,8.83221,16.9499,6.95691,10.189
0.123737,1,8.83221,16.9499,6.95691,10.189
0.512894,2,8.83221,-11.4468,-6.70959,16.9556
1.23098,2,8.83221,10.4575,2.19977,9.75369
-1.06667,1,8.83221,12.4896,10.6818,1.34013
-1.4349,2,8.83221,-2.06848,3.74519,0.261052
0.294193,2,8.83221,3.02377,-0.661314,1.42221
-2.8407,2,8.83221,-17.7052,3.52743,0.297999
-1.88834,1,8.83221,-3.10403,1.84852,0.161548
-1.88834,1,8.83221,-3.10403,1.84852,0.161548
-4.01215,1,8.83221,4.93523,11.9916,0.0419464
0.449401,1,8.83221,-3.19377,2.81293,1.74219
0.449401,1,8.83221,-3.19377,2.81293,1.74219
0.0696659,2,8.83221,-14.1063,-3.20717,3.2146
0.0696659,1,8.83221,-14.1063,-3.20717,3.2146
-0.842036,1,8.83221,-5.09011,-18.1206,2.62122
-0.842036,1,8.83221,-5.09011,-18.1206,2.62122
-0.288413,2,8.83221,-14.8188,-9.77059,3.90905
-0.0543659,1,8.83221,-0.432441,-18.0108,5.62089
-0.0543659,1,8.83221,-0.432441,-18.0108,5.62089
-0.0543659,1,8.83221,-0.432441,-18.0108,5.62089
-0.219243,1,8.83221,10.9843,-12.9334,3.61768
0.514449,2,8.83221,1.16093,15.9808,10.6755
0.755842,2,8.83221,10.0839,-3.60493,4.11138
0.431539,2,8.83221,-14.2955,-2.3315,4.97406
0.431539,1,8.83221,-14.2955,-2.3315,4.97406
0.733315,2,8.83221,13.4376,1.62379,14.1396
-0.705593,2,8.83221,-6.05787,7.88974,26.3975
-0.705593,2,8.83221,-6.05787,7.88974,26.3975
-0.705593,2,8.83221,-6.05787,7.88974,26.3975
-0.705593,2,8.83221,-6.05787,7.88974,26.3975
-0.231639,1,8.83221,10.1378,5.99604,1.60789
-0.231639,2,8.83221,10.1378,5.99604,1.60789
0.191813,1,8.83221,-1.90575,1.42604,1.25612
-0.938104,2,8.83221,5.66883,-10.5732,0.806368
-1.22603,2,8.83221,-10.8924,16.6348,21.5357
-1.22603,2,8.83221,-10.8924,16.6348,21.5357
-0.77313,2,8.83221,5.06927,-16.3386,2.03567
-0.270538,2,8.83221,-17.2575,8.47902,15.0598
-0.816927,1,8.83221,-18.2831,13.0872,13.168
-0.816927,1,8.83221,-18.2831,13.0872,13.168
-0.816927,1,8.83221,-18.2831,13.0872,13.168
0.577024,2,8.83221,10.4195,7.32222,4.41707
1.33678,2,8.83221,4.14771,8.02952,7.70751
-0.0161119,2,8.83221,-15.9572,-7.7292,5.51779
0.388664,2,8.83221,-0.157195,12.5105,3.42076
